"ABBM26033500","Abbas","Mahmoud","abbas.mahmoud@uqam.ca"
"ABES21095400","Abe","Shinzo","abe.shinzo@uqam.ca"
"ARAY04082900","Arafat","Yasser","arafat.yasser@uqam.ca"
"ARIJ15075300","Aristide","Jean-Bertrand","aristide.jean-bertrand@uqam.ca"
"CAMD09106600","Cameron","David","cameron.david@uqam.ca"
"COUP26065700","Couillard","Philippe","couillard.philippe.4@uqam.ca"
"DAVF13514800","David","Françoise","david.françoise.5@uqam.ca"
"FOXV02074200","Fox","Vicente","fox.vicente@uqam.ca"
"GEUP02525200","Geun-hye","Park","geun-hye.park@uqam.ca"
"GORM02033100","Gorbatchev","Mikhaïl","gorbatchev.mikhaïl@uqam.ca"
"HARS30045900","Harper","Stephen","harper.stephen@uqam.ca"
"IGLP17107800","Iglesias","Pablo","iglesias.pablo.34@uqam.ca"
"JINX15065300","Jinping","Xi","jinping.xi@uqam.ca"
"JONK08018400","Jong-un","Kim","jong-un.kim@uqam.ca"
"KOHH03043000","Kohl","Helmut","kohl.helmut@uqam.ca"
"LAML14087200","Lamothe","Laurent","lamothe.laurent@uqam.ca"
"LEPM05585800","Lepen","Marine","lepen.marine@uqam.ca"
"MARP29534900","Marois","Pauline","marois.pauline@uqam.ca"
"MARM12026100","Martelly","Michel","martelly.michel@uqam.ca"
"MASA31015600","Mas","Artur","mas.artur@uqam.ca"
"MAYT01605600","May","Theresa","may.theresa@uqam.ca"
"MERA17575400","Merkel","Angela","merkel.angela@uqam.ca"
"NETB21104900","Netanyahou","Benyamin","netanyahou.benyamin@uqam.ca"
"NOTR17546400","Notley","Rachel","notley.rachel@uqam.ca"
"OBAB04086100","Obama","Barack","obama.barack@uqam.ca"
"OLME30094500","Olmert","Ehud","olmert.ehud@uqam.ca"
"PENE20076600","Peña Nieto","Enrique","peña nieto.enrique@uqam.ca"
"PERS02082300","Peres","Shimon","peres.shimon@uqam.ca"
"POUV07105200","Poutine","Vladimir","poutine.vladimir@uqam.ca"
"RAJM27035500","Rajoy","Mariano","rajoy.mariano@uqam.ca"
"RODH26604700","Rodham","Hillary","rodham.hillary@uqam.ca"
"SARN28015500","Sarkozy","Nicolas","sarkozy.nicolas@uqam.ca"
"SUUA19564500","Suu Kyi","Aung San","suu kyi.aung san@uqam.ca"
"THAM13602500","Thatcher","Margaret","thatcher.margaret@uqam.ca"
"TRUJ25127100","Trudeau","Justin","trudeau.justin.2@uqam.ca"
"TRUD14064600","Trump","Donald","trump.donald@uqam.ca"
